structure,gap_class,band_gap,stability,coverage_score,mlip_stability
Cs2KIn2Br9,0.72,1.6243713,-0.004110125753963,1.0,0.001970656979402
Cs2KMn2(Br2Cl)3,0.76,1.1996614,-0.0186722680490685,0.38,0.0115019976824304
Cs2KMn2(IBr2)3,0.76,1.0773302,-0.007295349667006,0.38,0.0193329091527459
Cs2KMn2Br4Cl5,0.8400000000000001,1.2072922,-0.0138234381813426,0.38,0.0137503294273408
Cs2KMn2Br5Cl4,0.8400000000000001,1.1867138,-0.0160650048438573,0.38,0.0107137027770027
Cs2RbFe2(Br2Cl)3,0.8400000000000001,0.81839293,-0.0305234100107301,0.26,0.0180969577823606
Cs2RbFe2Br7Cl2,0.6799999999999999,0.8371787,-0.0446141462803795,0.26,0.0205285402282106
Cs2RbIn2Br9,0.8400000000000001,1.7266567,-0.018714387292593,1.0,-0.0054543077294432
Cs2RbInSbBr9,0.76,1.8980558,0.0014652459936503,0.44,-0.0044331117356355
Cs2RbInSnBr9,0.8399999999999999,1.3620622,0.0028151667238061,0.5,0.0031136475644711
Cs2RbMn2(Br2Cl)3,0.72,1.2090436,-0.0211513902757534,0.44,0.0093439093930747
Cs2RbMn2(IBr2)3,0.76,1.1905941,-0.0102528132006729,0.38,0.0170258343962755
Cs2RbMn2Br4Cl5,0.8400000000000001,1.1478313,-0.0156929515451065,0.44,0.0075926031011429
Cs2RbMn2Br5Cl4,0.8,1.1683795,-0.0179509180848069,0.44,0.0083261412839709
Cs2RbMn2Br7Cl2,0.6799999999999999,1.1948209,-0.0265988675122199,0.44,0.014016606791502
Cs2RbMn2I4Br5,0.8800000000000001,1.2427543,-0.0132162774170332,0.38,0.0150405221371625
Cs2RbMn2I5Br4,0.8800000000000001,1.2502377,-0.0175762031969748,0.38,0.0233490763032174
Cs2RbNi2Br7Cl2,0.8400000000000001,0.8453592,-0.0260829664950854,0.38,0.0318955844012909
Cs2RbScSbBr9,0.8,2.636189,-0.0279451448647372,0.365,-0.0109981283012385
Cs2RbYSbBr9,0.8800000000000001,2.8311088,-0.0226408659211629,0.32,-0.0065088063979263
Cs3CaY(I2Br)3,0.68,3.1874526,-0.0360292577348309,0.29,0.0385411553831172
Cs3CaYI4Br5,0.8,2.9486184,-0.0257370781438728,0.29,0.0304636354749049
Cs3CaYI5Br4,0.68,3.452251,-0.0288345392685231,0.29,0.0377356687127334
Cs3CaYI7Br2,0.64,2.9757557,-0.0440276485943065,0.29,0.0410784096430875
Cs3CoAgBr9,0.6799999999999999,0.8800335,-0.0149811066423488,0.925,0.0059335615546283
Cs3CrCuBr9,0.7200000000000001,1.1407692,-0.0418070742870799,1.0,0.0084724075792266
Cs3CrNiBr8Cl,0.8800000000000001,1.2008331,-0.0035467263397068,0.305,0.0016970591801326
Cs3CrNiBr9,0.8799999999999999,1.113001,-0.0166753937935797,0.325,-0.0028183678702112
Cs3CuNiBr9,0.64,0.87461346,-0.0374014829597584,0.925,0.0078741176073745
Cs3Fe2(Br2Cl)3,0.8400000000000001,0.84497786,-0.0364356959237459,0.4,0.0143097257593294
Cs3Fe2Br5Cl4,0.8800000000000001,0.842138,-0.0217414200509995,0.4,0.0155935856166713
Cs3FeAg(Br2Cl)3,0.92,0.88330334,0.0001814226250156,0.38,0.0070651827140809
Cs3FeAgBr8Cl,0.8,0.8946082,-0.0331876349743631,0.38,0.0062080898710856
Cs3FeAgBr9,0.68,0.9288672,-0.0613886110633588,1.0,-0.0044717534025982
Cs3FeCoBr7Cl2,0.6,0.8321077,-0.0040557957596965,0.26,0.021517039204829
Cs3FeCu(Br2Cl)3,0.8,0.8129546,-0.0052873024040478,0.44,0.010953391975552
Cs3FeCuBr9,0.68,0.90690315,-0.0767916590940951,1.0,0.0039611442988246
Cs3FeGeBr7Cl2,0.56,0.96483755,-0.0248775502220734,0.3349999999999999,0.0119242230297351
Cs3FeNi(Br2Cl)3,0.8400000000000001,0.86333257,-0.0072103303449284,0.38,0.0207720592059683
Cs3GaGeBr9,0.56,1.1666884,-0.0377817649716947,0.925,-0.0012776658675288
Cs3GaPbBr9,0.76,1.043761,-0.0399799678522476,0.325,0.0129210623723204
Cs3GaSbBr9,0.92,1.9821428,-0.0222086097111136,0.925,-0.0062163817260029
Cs3GaSnBr9,0.52,1.3416402,-0.0221268033434021,1.0,-0.0011157622312361
Cs3In2(IBr2)3,0.92,1.4406712,0.0005076073016829,0.4,0.0055224233118823
Cs3In2Br7Cl2,0.8799999999999999,1.8498131,-0.0292866980142589,0.4,-0.0003341558238391
Cs3In2Br8Cl,0.7200000000000001,1.8320618,-0.0384723078563873,0.4,0.0007403258911484
Cs3In2I2Br7,0.92,1.4913642,-0.0130398474429282,0.4,0.0031088624752876
Cs3In2I4Br5,0.92,1.282604,0.0016292360931735,0.4,0.0043001411264158
Cs3In2I5Br4,0.8800000000000001,1.2165558,0.0098145921339374,0.4,0.0083077945098069
Cs3InAgBr9,0.64,1.278755,-0.0346201097840537,1.0,-0.0047690538811996
Cs3InCuBr7Cl2,0.68,1.182269,-0.0392153415310809,0.365,0.012746023221302
Cs3InCuBr9,0.56,1.2472991,-0.0653589735239452,0.925,0.0007718020841324
Cs3InFeBr7Cl2,0.6799999999999999,1.0650826,-0.0382303721496426,0.32,0.0099730038634602
Cs3InFeBr9,0.56,1.0793439,-0.0642577735914475,1.0,-0.0052007002277441
Cs3InGaBr9,0.6,1.7526165,-0.046584214990899,1.0,-0.0066086893614078
Cs3InGaI2Br7,0.92,1.5800507,-0.0113631083614025,0.32,0.0066452711952244
Cs3InGaI9,0.76,1.100625,-0.0006168812244309,1.0,0.0098090337424885
Cs3InGeI4Br5,0.92,1.3017957,-0.003493692863973,0.38,0.0130539255583776
Cs3InNiBr9,0.5599999999999999,1.0645653,-0.0414420016311705,1.0,0.0013686629534085
Cs3InPbBr9,0.76,1.12751,-0.0476002090168661,1.0,0.0066712973276482
Cs3InSbBr8Cl,0.8800000000000001,2.046502,-0.0206118890256143,0.38,0.0005982210301136
